ticker,cycle,arm,entry,window,iv30,iv91,o2,cycle_return
GLD,1,straddle,2008-06-23,estimation,0.264273,0.26110750000000005,1.0121233591528391,0.05479668912815545
GLD,1,strip,2008-06-23,estimation,0.264273,0.26110750000000005,1.0121233591528391,0.3919073691233338
GLD,2,straddle,2008-07-21,estimation,0.25710750000000004,0.273353,0.9405695199979515,-0.10283596333872692
GLD,2,strip,2008-07-21,estimation,0.25710750000000004,0.273353,0.9405695199979515,-0.38496905377510854
GLD,3,straddle,2008-08-18,estimation,0.3009985,0.28547049999999996,1.0543944120320665,-1.3412152599349378
GLD,3,strip,2008-08-18,estimation,0.3009985,0.28547049999999996,1.0543944120320665,-1.4814780226380395
GLD,4,straddle,2008-09-22,estimation,0.5170570000000001,0.4263635,1.2127140339170686,-0.1336255356149599
GLD,4,strip,2008-09-22,estimation,0.5170570000000001,0.4263635,1.2127140339170686,0.09255669843463965
GLD,5,straddle,2008-10-20,estimation,0.4570615,0.4065775,1.1241682090130418,0.08049523151892224
GLD,5,strip,2008-10-20,estimation,0.4570615,0.4065775,1.1241682090130418,0.06789610048042315
GLD,6,straddle,2008-11-24,estimation,0.520267,0.484019,1.0748896221016118,0.3591193606766485
GLD,6,strip,2008-11-24,estimation,0.520267,0.484019,1.0748896221016118,0.5277245118081509
GLD,7,straddle,2008-12-22,estimation,0.385941,0.4215995,0.9154209148730015,0.37868500470231403
GLD,7,strip,2008-12-22,estimation,0.385941,0.4215995,0.9154209148730015,0.5012041525213357
GLD,8,straddle,2009-01-20,estimation,0.363393,0.376812,0.9643880768128404,0.10433989342438538
GLD,8,strip,2009-01-20,estimation,0.363393,0.376812,0.9643880768128404,0.3845732940621915
GLD,9,straddle,2009-02-23,estimation,0.39768950000000003,0.428695,0.9276746871318771,0.1638932890584316
GLD,9,strip,2009-02-23,estimation,0.39768950000000003,0.428695,0.9276746871318771,0.40915899992236643
GLD,10,straddle,2009-03-23,estimation,0.33360650000000003,0.3716655,0.8975987817002117,0.2201288437566358
GLD,10,strip,2009-03-23,estimation,0.33360650000000003,0.3716655,0.8975987817002117,0.5604190892034931
GLD,11,straddle,2009-04-20,estimation,0.27149,0.2963325,0.916166805868408,0.3175269748773744
GLD,11,strip,2009-04-20,estimation,0.27149,0.2963325,0.916166805868408,0.649446198832709
GLD,12,straddle,2009-05-18,estimation,0.212793,0.24612699999999998,0.8645658542134752,0.14966374599087698
GLD,12,strip,2009-05-18,estimation,0.212793,0.24612699999999998,0.8645658542134752,0.3240496434479449
GLD,13,straddle,2009-06-22,estimation,0.20273449999999998,0.23018149999999998,0.880759313845813,0.3799302353445059
GLD,13,strip,2009-06-22,estimation,0.20273449999999998,0.23018149999999998,0.880759313845813,0.5487805073444104
GLD,14,straddle,2009-07-20,estimation,0.1787965,0.226128,0.7906871329512488,0.15797459709527448
GLD,14,strip,2009-07-20,estimation,0.1787965,0.226128,0.7906871329512488,0.4186992554785838
GLD,15,straddle,2009-08-24,estimation,0.1722515,0.215995,0.7974791083126924,-0.09892529088083618
GLD,15,strip,2009-08-24,estimation,0.1722515,0.215995,0.7974791083126924,0.4205328842766486
GLD,16,straddle,2009-09-21,estimation,0.2103605,0.242918,0.8659732913987437,0.0009568304323491326
GLD,16,strip,2009-09-21,estimation,0.2103605,0.242918,0.8659732913987437,0.4342051983062975
GLD,17,straddle,2009-10-19,estimation,0.196865,0.224744,0.8759521944968498,-0.023117711855798844
GLD,17,strip,2009-10-19,estimation,0.196865,0.224744,0.8759521944968498,0.2583874754111403
GLD,18,straddle,2009-11-23,estimation,0.2319775,0.24105100000000002,0.9623585880166438,-0.17032394063682987
GLD,18,strip,2009-11-23,estimation,0.2319775,0.24105100000000002,0.9623585880166438,-0.12618176016167965
GLD,19,straddle,2009-12-21,estimation,0.237583,0.252556,0.9407141386464783,0.2400926109889453
GLD,19,strip,2009-12-21,estimation,0.237583,0.252556,0.9407141386464783,0.5295133992344512
GLD,20,straddle,2010-01-19,estimation,0.1953245,0.213281,0.9158082529620548,-0.06612601743577438
GLD,20,strip,2010-01-19,estimation,0.1953245,0.213281,0.9158082529620548,-0.19254636094700833
GLD,21,straddle,2010-02-22,estimation,0.2115755,0.2313045,0.9147055072426175,0.14751446002706262
GLD,21,strip,2010-02-22,estimation,0.2115755,0.2313045,0.9147055072426175,0.4978809118467468
GLD,22,straddle,2010-03-22,estimation,0.1652145,0.1826555,0.9045142358155106,-0.009388248960338547
GLD,22,strip,2010-03-22,estimation,0.1652145,0.1826555,0.9045142358155106,0.21920355134699024
GLD,23,straddle,2010-04-19,estimation,0.17278100000000002,0.183173,0.9432667478285556,-0.05118920305683339
GLD,23,strip,2010-04-19,estimation,0.17278100000000002,0.183173,0.9432667478285556,-0.12640730733969402
GLD,24,straddle,2010-05-24,estimation,0.2300235,0.23558849999999998,0.97637830369479,0.28684577493155566
GLD,24,strip,2010-05-24,estimation,0.2300235,0.23558849999999998,0.97637830369479,0.5726514433373863
GLD,25,straddle,2010-06-21,estimation,0.2020695,0.2211185,0.9138516225462818,-0.013002062815331412
GLD,25,strip,2010-06-21,estimation,0.2020695,0.2211185,0.9138516225462818,0.11342084827853637
GLD,26,straddle,2010-07-19,estimation,0.1849855,0.198762,0.9306884615771627,0.32799341795463005
GLD,26,strip,2010-07-19,estimation,0.1849855,0.198762,0.9306884615771627,0.6187632917412478
GLD,27,straddle,2010-08-23,estimation,0.16055049999999998,0.1915285,0.8382590580514127,0.2311903482482739
GLD,27,strip,2010-08-23,estimation,0.16055049999999998,0.1915285,0.8382590580514127,0.5112193819153276
GLD,28,straddle,2010-09-20,estimation,0.160413,0.1915195,0.8375805074679079,0.046810322426440704
GLD,28,strip,2010-09-20,estimation,0.160413,0.1915195,0.8375805074679079,0.267868634957201
