ticker,cycle,entry,k_strip,rv21,iv30,iv91,o1,o2,o1_median_prior,o2_p90_prior,o1_trade,o2_trade
GLD,1,2008-06-23,0.07428234486094976,0.058323913716416514,0.264273,0.26110750000000005,0.24186111078131212,1.0121233591528391,,,True,True
GLD,2,2008-07-21,0.07080045691015599,0.04403937040606174,0.25710750000000004,0.273353,0.47478143841665366,0.9405695199979515,0.24186111078131212,1.0121233591528391,True,True
GLD,3,2008-08-18,0.10125369483862165,0.07583788526639539,0.3009985,0.28547049999999996,0.2890312241417576,1.0543944120320665,0.3583212745989829,1.0049679752373504,True,True
GLD,4,2008-09-22,0.298270571671882,0.2476206583344036,0.5170570000000001,0.4263635,0.18610306155382328,1.2127140339170686,0.2890312241417576,1.0459402014562211,True,True
GLD,5,2008-10-20,0.25381049419237495,0.2349654948273902,0.4570615,0.4065775,0.07714922985942112,1.1241682090130418,0.2654461674615348,1.165218147351568,True,True
GLD,6,2008-11-24,0.31114142114216187,0.17820305460841912,0.520267,0.484019,0.5573238828301826,1.0748896221016118,0.24186111078131212,1.177295703955458,True,True
GLD,7,2008-12-22,0.17281929440298638,0.17121116696878347,0.385941,0.4215995,0.00934881835960706,0.9154209148730015,0.2654461674615348,1.1684411214650552,True,True
GLD,8,2009-01-20,0.14365394567744227,0.07685921403717764,0.363393,0.376812,0.6254318931641851,0.9643880768128404,0.24186111078131212,1.1595865389746525,True,True
GLD,9,2009-02-23,0.1750216404398955,0.08725784131036977,0.39768950000000003,0.428695,0.696042197138433,0.9276746871318771,0.2654461674615348,1.1507319564842498,True,True
GLD,10,2009-03-23,0.12858333145838236,0.07639020205746395,0.33360650000000003,0.3716655,0.5207227453663704,0.8975987817002117,0.2890312241417576,1.1418773739938473,True,True
GLD,11,2009-04-20,0.08065641325732753,0.04750391285327892,0.27149,0.2963325,0.5293862375229902,0.916166805868408,0.3819063312792056,1.1330227915034445,True,True
GLD,12,2009-05-18,0.05223386249146135,0.02721054462411822,0.212793,0.24612699999999998,0.6521264231206116,0.8645658542134752,0.47478143841665366,1.1241682090130418,True,True
GLD,13,2009-06-22,0.04795113209896576,0.034896389734303646,0.20273449999999998,0.23018149999999998,0.3177990331906116,0.880759313845813,0.49775209189151204,1.1192403503218988,True,True
GLD,14,2009-07-20,0.03671515912042361,0.01974936337652734,0.1787965,0.226128,0.6200684681014651,0.7906871329512488,0.47478143841665366,1.1143124916307559,True,True
GLD,15,2009-08-24,0.03749740981580699,0.022578975991369966,0.1722515,0.215995,0.5072526515685084,0.7974791083126924,0.49775209189151204,1.1093846329396129,True,True
GLD,16,2009-09-21,0.05311980381260106,0.022145267154060455,0.2103605,0.242918,0.8749260107174716,0.8659732913987437,0.5072526515685084,1.1044567742484699,True,True
GLD,17,2009-10-19,0.04472698867903573,0.026323866153968735,0.196865,0.224744,0.5301011069836649,0.8759521944968498,0.5139876984674394,1.0995289155573267,True,True
GLD,18,2009-11-23,0.06607590321439859,0.030932475869515592,0.2319775,0.24105100000000002,0.7589974989256516,0.9623585880166438,0.5207227453663704,1.0946010568661837,True,True
